Collar_bone_x,Collar_bone_y,Collar_bone_z,Fore_arm_x,Fore_arm_y,Fore_arm_z,Hand_x,Hand_y,Hand_z,Upper_arm_x,Upper_arm_y,Upper_arm_z,Output
-0.1559136,0.2286534,2.120145,-0.5302216,0.2827062,2.109175,-0.5868202,0.2925405,2.103178,-0.3435675,0.2677751,2.130795,0
-0.118622,0.2115077,2.183545,-0.3694361,0.2784333,1.948353,-0.3902101,0.3388408,1.909705,-0.2852452,0.1489574,2.067946,0
-0.2095485,0.2111721,2.116959,-0.2430342,0.2942495,1.793241,-0.2208597,0.3114287,1.783123,-0.2709036,0.1429254,1.896383,0
-0.1249876,0.2147999,2.193182,-0.140547,0.2597699,1.712908,-0.1418392,0.2567374,1.714774,-0.2332949,0.2153905,1.948592,0
-0.1633931,0.3475029,2.142695,-0.1844311,-0.156693,2.006275,-0.1734758,-0.2236308,1.98903,-0.1970727,0.07356541,2.104431,0
-0.174548,0.3081426,1.965306,-0.2134478,0.305105,1.616287,-0.1823618,0.3121898,1.612135,-0.2502965,0.1752892,1.787627,0
-0.171079,0.3567106,2.207349,-0.5969495,0.2489595,2.150342,-0.6474664,0.2428415,2.14593,-0.3929656,0.3137517,2.186578,0
-0.2546683,0.3227328,2.129662,-0.4531714,0.3286605,1.957984,-0.4669763,0.3798029,1.935973,-0.3685081,0.1653762,2.055092,0
-0.1590501,0.3230123,2.139089,-0.1496571,0.1208556,1.829361,-0.08414272,0.06755181,1.802163,-0.2442815,0.2394122,1.960118,0
-0.06253382,0.3114489,2.094933,-0.1358171,0.1417021,1.783507,-0.1415872,0.1392127,1.737745,-0.116748,0.125203,2.004211,0
-0.1322259,0.2156926,2.220409,-0.1571567,0.272433,2.079693,-0.1213862,0.2646734,2.131031,-0.3153047,0.2329624,2.17875,1
-0.1092073,0.2496916,2.290074,-0.4578649,0.2113624,2.217021,-0.4474397,0.2063986,2.182428,-0.2854959,0.212636,2.283871,1
-0.1174841,0.222434,2.255815,-0.4410762,0.1718249,2.140864,-0.4820416,0.1716407,2.132363,-0.2979293,0.184986,2.266646,1
-0.09632141,0.1916129,2.195369,-0.146035,0.2668703,1.683314,-0.1453856,0.2642531,1.681985,-0.1347546,0.170249,1.925634,1
-0.2018353,0.3634539,2.126862,-0.09940345,0.3058254,1.75995,-0.02236547,0.3098827,1.727666,-0.3305174,0.2936536,1.869974,1
-0.2225287,0.3683846,2.141385,-0.5912526,0.08247596,2.165172,-0.6683589,0.02621572,2.157635,-0.4148618,0.2129838,2.16243,1
-0.1237862,0.3356927,2.084742,-0.07919128,0.3512102,1.619468,-0.0799644,0.3271312,1.440397,-0.200577,0.380573,1.876902,1
-0.1678264,0.3414141,2.051827,-0.2001836,0.5496843,1.713379,-0.1888599,0.6149366,1.699603,-0.2341548,0.3539275,1.767864,1
-0.1153823,0.3080304,2.204011,-0.1358884,0.3542154,1.920028,-0.07771253,0.3651244,1.881135,-0.2750722,0.3183312,2.06318,1
-0.246811,0.3228447,2.165973,-0.3003742,-0.01821568,1.918078,-0.2870334,-0.08001483,1.853673,-0.2871964,0.07812347,2.109063,1
